shoeNumber	shoeName	shoeUrl	shoePrice
293	Asics Gel Kayano 22	https://runrepeat.com/asics-gel-kayano	65
294	Brooks Beast 18	https://runrepeat.com/brooks-beast-18	154
295	Brooks Bedlam	https://runrepeat.com/brooks-bedlam	140
296	Hoka One One Challenger 5 ATR	https://runrepeat.com/hoka-one-one-challenger-5-atr	110
297	Brooks Ravenna 10	https://runrepeat.com/brooks-ravenna-10	110
298	Asics Gel Kayano 25 SP	https://runrepeat.com/asics-gel-kayano-25-sp	120
299	Nike Free RN Flyknit 2017	https://runrepeat.com/nike-free-rn-flyknit-2017	50
300	Adidas Aerobounce 2	https://runrepeat.com/adidas-aerobounce-2	34
301	Asics Gel Fortitude 7	https://runrepeat.com/asics-gel-fortitude	75
302	Nike Flyknit Lunar 3	https://runrepeat.com/nike-flyknit-lunar-3	85
303	Adidas Ultraboost Uncaged Parley	https://runrepeat.com/adidas-ultraboost-uncaged-parley	139
304	Puma Hybrid Rocket Runner	https://runrepeat.com/puma-hybrid-rocket-runner	48
305	Adidas Energy Cloud	https://runrepeat.com/adidas-energy-cloud	40
306	Under Armour SpeedForm Slingshot 2	https://runrepeat.com/under-armour-speedform-slingshot-2	34
307	Saucony Breakthru 3	https://runrepeat.com/saucony-breakthru-3	40
308	Merrell Agility Peak Flex	https://runrepeat.com/merrell-agility-peak-flex	130
309	Brooks Adrenaline GTS 17	https://runrepeat.com/brooks-adrenaline-gts-17	80
310	Asics Gel Foundation 13	https://runrepeat.com/asics-gel-foundation-13	70
311	Asics Gel Quantum 360 4	https://runrepeat.com/asics-gel-quantum-360-4	94
312	Under Armour SpeedForm Europa	https://runrepeat.com/under-armour-speedform-europa	49
313	Under Armour Dash RN 2	https://runrepeat.com/under-armour-dash-rn-2	50
314	Nike Air Zoom Pegasus 32	https://runrepeat.com/nike-air-zoom-pegasus	72
315	Nike Air Max Sequent 3	https://runrepeat.com/nike-air-max-sequent-3	40
316	Nike LunarSolo	https://runrepeat.com/nike-lunarsolo	51
317	Altra Olympus 3.0	https://runrepeat.com/altra-olympus-30	120
318	Brooks Ricochet	https://runrepeat.com/brooks-ricochet	120
319	Skechers GOrun Mojo	https://runrepeat.com/skechers-gorun-mojo	30
320	Altra Solstice	https://runrepeat.com/altra-solstice	55
321	On Cloudsurfer	https://runrepeat.com/on-cloudsurfer	95
322	Under Armour HOVR Phantom Connected	https://runrepeat.com/under-armour-hovr-phantom-connected	125
323	La Sportiva Akyra	https://runrepeat.com/la-sportiva-akyra	140
324	New Balance Vazee Rush v2	https://runrepeat.com/new-balance-vazee-rush-v2	45
325	Altra Olympus 2.5	https://runrepeat.com/altra-olympus-25	120
326	Asics Gel Cumulus 18	https://runrepeat.com/asics-gel-cumulus-18	50
327	Salomon Ultra Pro	https://runrepeat.com/salomon-ultra-pro	96
328	Adidas Mana Bounce 2	https://runrepeat.com/adidas-mana-bounce-2	63
329	Altra King MT	https://runrepeat.com/altra-king-mt	140
330	New Balance Vazee Pace v2	https://runrepeat.com/new-balance-vazee-pace-v2	55
331	Nike Air Zoom Pegasus 33	https://runrepeat.com/nike-air-zoom-pegasus-33	55
332	Asics Comutora	https://runrepeat.com/asics-comutora	30
333	Saucony Triumph ISO 5	https://runrepeat.com/saucony-triumph-iso-5	160
334	Saucony Excursion TR 12	https://runrepeat.com/saucony-excursion-tr-12	40
335	Under Armour Charged Rogue	https://runrepeat.com/under-armour-charged-rogue	47
336	Reebok All Terrain Craze	https://runrepeat.com/reebok-all-terrain-craze	78
337	New Balance Cypher Run	https://runrepeat.com/new-balance-cypher-run	30
338	Asics Gel 451	https://runrepeat.com/asics-gel-451	65
339	Brooks Cascadia 13	https://runrepeat.com/brooks-cascadia-13	101
340	Inov-8 Roadclaw 275 v2	https://runrepeat.com/inov-8-roadclaw-275-v2	74
341	Nike Air Zoom Winflo 5 Run Shield	https://runrepeat.com/nike-air-zoom-winflo-5-run-shield	70
342	Brooks Launch 6	https://runrepeat.com/brooks-launch-6	100
343	Adidas Aerobounce PR	https://runrepeat.com/adidas-aerobounce-pr	31
